date,equity
2019-07-01,372051.291263686
2019-07-02,376572.12473813316
2019-07-03,384915.2273705906
2019-07-05,382411.71605649067
2019-07-08,374370.48609263194
2019-07-09,379978.35143621574
2019-07-10,391219.72194940224
2019-07-11,390177.19694807177
2019-07-12,396712.4499610526
2019-07-15,400096.4232252321
2019-07-16,394395.1902133157
2019-07-17,388554.6313543537
2019-07-18,390223.1551267847
2019-07-19,380789.1504627726
2019-07-22,389759.21940693504
2019-07-23,397315.71152794774
2019-07-24,405753.63313964463
2019-07-25,394163.9480088442
2019-07-26,405868.28670127585
2019-07-29,402113.7453855793
2019-07-30,396712.4499610526
2019-07-31,379978.35143621574
2019-08-01,374647.6864758163
2019-08-02,357496.094180145
2019-08-05,319970.9993758739
2019-08-06,333113.58717686957
2019-08-07,337980.3164174194
2019-08-08,360347.43634155666
2019-08-09,349684.65510985104
2019-08-12,337980.3164174194
2019-08-13,360185.3732903057
2019-08-14,327920.31298230676
2019-08-15,326530.44090396684
2019-08-16,341572.794681865
2019-08-19,357565.7571036678
2019-08-20,350218.25375322346
2019-08-21,359119.14354416536
2019-08-22,355665.5073564631
2019-08-23,323100.02569077216
2019-08-26,336196.17154275265
2019-08-27,334179.81692300993
2019-08-28,337516.3806975698
2019-08-29,352883.344348272
2019-08-30,350380.8005747766
2019-09-03,340181.95506292064
2019-09-04,354506.39371229237
2019-09-05,374067.64588342875
2019-09-06,373024.15334149374
2019-09-09,370661.4191853461
2019-09-10,367602.05579397065
2019-09-11,377498.5448669257
2019-09-12,382180.9576223215
2019-09-13,378124.5436380262
2019-09-16,372909.4997798625
2019-09-17,377845.8919439351
2019-09-18,377614.64973946364
2019-09-19,379283.6572821969
2019-09-20,367368.8785082902
2019-09-23,367693.97215139656
2019-09-24,353161.9960423632
2019-09-25,364449.3247342626
2019-09-26,360810.4045208018
2019-09-27,347715.2262094258
2019-09-30,356985.7165112803
2019-10-01,348363.4784144294
2019-10-02,330517.67573504156
2019-10-03,341410.73163061414
2019-10-04,355780.6446883966
2019-10-07,352466.8181180421
2019-10-08,336427.4137472241
2019-10-09,346625.2917184756
2019-10-10,354205.0048139959
2019-10-11,367462.72994692513
2019-10-14,367879.25617715507
2019-10-15,381832.6430047076
2019-10-16,379005.489358408
2019-10-17,381600.4332596316
2019-10-18,370661.4191853461
2019-10-21,380442.2871560654
2019-10-22,371657.50223766145
2019-10-23,373373.4354997121
2019-10-24,384104.4283440338
2019-10-25,392842.2875431204
2019-10-28,404824.79415934085
2019-10-29,395507.37813816895
2019-10-30,401070.2528436443
2019-10-31,401347.936997131
2019-11-01,412241.47666300583
2019-11-04,419612.68475826
2019-11-05,420121.6111162181
2019-11-06,417457.0042914717
2019-11-07,421698.7023015255
2019-11-08,426658.7992104079
2019-11-11,424873.2030248344
2019-11-12,428351.02772764885
2019-11-13,427725.02895654825
2019-11-14,427585.7031095027
2019-11-15,435652.08912907797
2019-11-18,437923.390698102
2019-11-19,439708.50311337324
2019-11-20,431989.46417080733
2019-11-21,428651.93285564304
2019-11-22,429810.5627295115
2019-11-25,444691.337226461
2019-11-26,447356.9115918118
2019-11-27,456443.08540851227
2019-11-29,450299.6863403471
2019-12-02,435836.8893845342
2019-12-03,426034.2517502141
2019-12-04,432360.5159926266
2019-12-05,434608.59658714297
2019-12-06,448051.60574583063
2019-12-09,442536.140529975
2019-12-10,441562.3109115628
2019-12-11,448214.15256738383
2019-12-12,458458.9562579527
2019-12-13,462584.54939546855
2019-12-16,475843.24206900224
2019-12-17,476495.3644364238
2019-12-18,477581.4287649561
2019-12-19,487316.3385569624
2019-12-20,493107.06907479354
2019-12-23,496749.8594506723
2019-12-24,497402.9493586984
2019-12-26,510334.12953761447
2019-12-27,508815.09078857605
2019-12-30,498680.10295661597
2019-12-31,501524.6723337962
2020-01-02,526366.2773538989
2020-01-03,512046.67640754953
2020-01-06,521780.13488864916
2020-01-07,521156.07119875756
2020-01-08,533143.8992883028
2020-01-09,546583.0382845725
2020-01-10,542142.0269099952
2020-01-13,561091.309648796
2020-01-14,554531.3843504009
2020-01-15,554889.3743740596
2020-01-16,570355.5109367213
2020-01-17,578874.7059591947
2020-01-21,578565.0929657602
2020-01-22,582507.8209290287
2020-01-23,587911.5352050666
2020-01-24,572687.2837935255
2020-01-27,537265.6222634006
2020-01-28,562252.3583741756
2020-01-29,564269.6805345229
2020-01-30,570636.0977120214
2020-01-31,542591.9332910798
2020-02-03,567506.1038565187
2020-02-04,606285.1312842
2020-02-05,613280.4498546125
2020-02-06,628243.465302943
2020-02-07,620130.6373343526
2020-02-10,642495.3384069786
2020-02-11,642950.0824910856
2020-02-12,661773.5849513037
2020-02-13,659224.1154584908
2020-02-14,663698.990754225
2020-02-18,664864.877182627
2020-02-19,684099.5843997503
2020-02-20,664627.8297345287
2020-02-21,626613.1593843892
2020-02-24,554410.4417748405
2020-02-25,509564.9347570505
2020-02-26,516579.6041395527
2020-02-27,439336.4837509495
2020-02-28,446175.544513738
2020-03-02,507088.0308095738
2020-03-03,459339.9019783346
2020-03-04,515055.7276874918
2020-03-05,469862.87359269237
2020-03-06,445247.67307403876
2020-03-09,354807.7826105889
2020-03-10,410017.10081329924
2020-03-11,357287.589179879
2020-03-12,259361.35328924132
2020-03-13,329358.5620908708
2020-03-16,215844.27952140657
2020-03-17,251017.28311617937
2020-03-18,227793.88975707462
2020-03-19,233053.4404830446
2020-03-20,205762.02265239082
2020-03-23,206399.6319107451
2020-03-24,252408.12273512382
2020-03-25,246567.08010585952
2020-03-26,286710.3397858619
2020-03-27,256927.02112836193
2020-03-30,283929.14431827527
2020-03-31,276049.00986506295
2020-04-01,241792.2672227356
2020-04-02,256116.70587210736
2020-04-03,245801.75548771344
2020-04-06,297257.0161450295
2020-04-07,296677.4593229441
2020-04-08,315636.901238092
2020-04-09,316795.5311119605
2020-04-13,327781.47090556344
2020-04-14,370336.809312542
2020-04-15,358051.9462574206
2020-04-16,377220.3769431368
2020-04-17,386653.8978368467
2020-04-20,374137.7925772538
2020-04-21,332788.97730406554
2020-04-22,362224.948884556
2020-04-23,359836.5749023896
2020-04-24,377220.3769431368
2020-04-27,384567.3965232789
2020-04-28,363776.88401414687
2020-04-29,401626.5886912221
2020-04-30,404268.9420820653
2020-05-01,368018.58202420064
2020-05-04,380997.65546303865
2020-05-05,393143.6764414168
2020-05-06,400931.410766901
2020-05-07,416553.3213668845
2020-05-08,433379.8200194495
2020-05-11,444135.00137888326
2020-05-12,417711.95124075306
