date,equity
2020-05-11,24047.65023801737
2020-05-12,22616.97653301637
2020-05-13,21761.04499530389
2020-05-14,22482.73382007526
2020-05-15,22867.990760941164
2020-05-18,24193.234823095743
2020-05-19,24007.46910208534
2020-05-20,25413.23259830449
2020-05-21,24632.450786138943
2020-05-22,24854.651943969067
2020-05-26,24750.453405026685
2020-05-27,25099.301102772955
2020-05-28,24938.68133384518
2020-05-29,25967.596066926053
2020-06-01,26288.52128038057
2020-06-02,26812.395282101952
2020-06-03,27175.96383929659
2020-06-04,26624.062578483117
2020-06-05,28201.709134667053
2020-06-08,28829.572125730123
2020-06-09,29473.151336844843
2020-06-10,30535.829749336663
2020-06-11,26041.017008267307
2020-06-12,26605.726988422866
2020-06-15,27544.50919950758
2020-06-16,28999.831176289576
2020-06-17,29280.103767210512
2020-06-18,29506.941209955872
2020-06-19,29466.602911823324
2020-06-22,30514.612852266942
2020-06-23,31311.42520888516
2020-06-24,29466.602911823324
2020-06-25,30247.17517438818
2020-06-26,28073.621941246176
2020-06-29,28971.018106194897
2020-06-30,30636.151620666304
2020-07-01,31732.096032267433
2020-07-02,32405.797998481128
2020-07-06,34787.85308430824
2020-07-07,34104.19751206184
2020-07-08,35414.93026436873
2020-07-09,36300.015390277
2020-07-10,37069.32436180485
2020-07-13,34777.37560427381
2020-07-14,35516.037946700955
2020-07-15,35691.011863275904
2020-07-16,34926.15582076269
2020-07-17,35088.55676129631
2020-07-20,38075.42438211076
2020-07-21,36858.465076112
2020-07-22,37285.422387514926
2020-07-23,34363.51514291392
2020-07-24,33346.93764257359
2020-07-27,35139.63447646415
2020-07-28,33818.94811812455
2020-07-29,34969.63736290556
2020-07-30,35538.56452877498
2020-07-31,37454.63369007093
2020-08-03,38851.28177866013
2020-08-04,39356.03437931868
2020-08-05,39669.83490634978
2020-08-06,41188.02176333834
2020-08-07,39842.71332691784
2020-08-10,39305.2186011517
2020-08-11,37074.03922782034
2020-08-12,39847.95206693505
2020-08-13,40127.43884685341
2020-08-14,40010.8768814704
2020-08-17,41331.82517681086
2020-08-18,42545.90317580016
2020-08-19,41714.77707206919
2020-08-20,43432.036049711875
2020-08-21,44338.076135689
2020-08-24,45160.03444438984
2020-08-25,46214.592809854985
2020-08-26,49172.3854235739
2020-08-27,48728.14027011417
2020-08-28,49480.685273586925
2020-08-31,50625.611904349
2020-09-01,53254.935518988605
2020-09-02,54756.62034492294
2020-09-03,46348.70455429566
2020-09-04,44438.659944019506
2020-09-08,38157.41066338016
2020-09-09,41435.338040154274
2020-09-10,41434.338040154274
2020-09-11,40527.055720766024
2020-09-14,40527.055720766024
2020-09-15,40526.055720766024
2020-09-16,38578.22653723316
2020-09-17,36800.82458037237
2020-09-18,36800.82458037237
2020-09-21,36800.82458037237
2020-09-22,36800.82458037237
2020-09-23,36800.82458037237
2020-09-24,36800.82458037237
2020-09-25,36800.82458037237
2020-09-28,36800.82458037237
2020-09-29,36800.82458037237
2020-09-30,36800.82458037237
2020-10-01,36800.82458037237
2020-10-02,36800.82458037237
2020-10-05,36800.82458037237
2020-10-06,36800.82458037237
2020-10-07,36800.82458037237
2020-10-08,36800.82458037237
2020-10-09,36800.82458037237
2020-10-12,36799.82458037237
2020-10-13,36804.40541354973
2020-10-14,35896.205444472136
2020-10-15,35153.91130307912
2020-10-16,34614.76715476924
2020-10-19,32893.96721335906
2020-10-20,33106.87637277658
2020-10-21,33021.035542365964
2020-10-22,33037.36720847657
2020-10-23,33231.35553520498
2020-10-26,31716.49392011635
2020-10-27,32463.563894646053
2020-10-28,32462.563894646053
2020-10-29,34113.14348088445
2020-10-30,34113.14348088445
2020-11-02,34113.14348088445
2020-11-03,34113.14348088445
2020-11-04,34113.14348088445
2020-11-05,34113.14348088445
2020-11-06,34113.14348088445
2020-11-09,34112.14348088445
2020-11-10,32271.281318373676
2020-11-11,34440.28933159646
2020-11-12,33937.25256045003
2020-11-13,34827.13282227099
2020-11-16,35628.06512455831
2020-11-17,35300.31994033068
2020-11-18,34481.5579794882
2020-11-19,35335.77892419883
2020-11-20,34618.585917148164
2020-11-23,34625.19691414053
2020-11-24,36040.75160347573
2020-11-25,36720.682627478505
2020-11-27,37722.54917168532
2020-11-30,37917.67374958123
2020-12-01,39408.35340473877
2020-12-02,39565.815333102415
2020-12-03,39727.28392630991
2020-12-04,40214.4943713231
2020-12-07,40895.62739477903
2020-12-08,41270.25055767981
2020-12-09,38506.45314838623
2020-12-10,38978.23793375057
2020-12-11,38704.78305815723
2020-12-14,39530.15601599207
2020-12-15,40758.59945711908
2020-12-16,41443.1381456923
2020-12-17,42291.95009286372
2020-12-18,41830.78296933561
2020-12-21,41675.3243733939
2020-12-22,42003.670557348094
2020-12-23,41370.21684553407
2020-12-24,41907.5106010955
2020-12-28,43164.80202909829
2020-12-29,43292.614637617364
2020-12-30,43286.003640625
2020-12-31,43623.76548696227
2021-01-04,41715.791688316865
2021-01-05,42761.73154580613
2021-01-06,40993.790683453575
2021-01-07,43954.91633630717
2021-01-08,45658.550227915795
2021-01-11,43640.99414579086
2021-01-12,43450.87789894978
2021-01-13,44295.68318127734
2021-01-14,43621.762154540345
2021-01-15,42560.19630416005
2021-01-19,44406.06679772564
2021-01-20,47501.616056090694
2021-01-21,48682.17985233359
2021-01-22,48240.845719782585
2021-01-25,49579.67277735789
2021-01-26,49632.16008681244
2021-01-27,45629.50190779783
2021-01-28,46301.419602112896
2021-01-29,43417.42224750356
2021-02-01,46608.53046239464
2021-02-02,48864.48310272915
2021-02-03,48302.548358378
2021-02-04,50011.59124752584
2021-02-05,50534.46100964936
2021-02-08,51522.90522662925
2021-02-09,51499.46623729268
2021-02-10,51134.45907001717
2021-02-11,51960.032361094214
2021-02-12,52842.900959438426
2021-02-16,52401.16616040303
2021-02-17,51671.752825578595
2021-02-18,50975.99547544256
2021-02-19,50303.87744788531
2021-02-22,46407.395887232946
2021-02-23,45994.50907507333
2021-02-24,47102.952904126774
2021-02-25,42183.770142079535
2021-02-26,42816.42418713576
2021-03-01,42816.42418713576
2021-03-02,42815.42418713576
2021-03-03,39100.902696819074
2021-03-04,39100.902696819074
2021-03-05,39100.902696819074
2021-03-08,39100.902696819074
2021-03-09,39100.902696819074
2021-03-10,39100.902696819074
2021-03-11,39100.902696819074
2021-03-12,39100.902696819074
2021-03-15,39100.902696819074
2021-03-16,39100.902696819074
2021-03-17,39100.902696819074
2021-03-18,39100.902696819074
2021-03-19,39100.902696819074
2021-03-22,39100.902696819074
2021-03-23,39100.902696819074
2021-03-24,39100.902696819074
2021-03-25,39100.902696819074
2021-03-26,39100.902696819074
2021-03-29,39100.902696819074
2021-03-30,39100.902696819074
2021-03-31,39100.902696819074
2021-04-01,39100.902696819074
2021-04-05,39100.902696819074
2021-04-06,39100.902696819074
2021-04-07,39099.902696819074
2021-04-08,40321.05576692467
2021-04-09,41051.766669941804
2021-04-12,40891.534261606386
2021-04-13,42291.77061161627
2021-04-14,40807.024845844244
2021-04-15,42609.359871607114
2021-04-16,42789.241917255844
2021-04-19,41622.08541147464
2021-04-20,40711.33270965988
2021-04-21,41740.94175424787
2021-04-22,40221.2100488692
2021-04-23,41736.94792552565
2021-04-26,42563.670471024925
2021-04-27,42004.6942030632
2021-04-28,41572.40218217024
2021-04-29,41989.35790076987
2021-04-30,41200.9761110039
2021-05-03,40527.61658843782
2021-05-04,38392.19624724192
2021-05-05,37943.56792405564
2021-05-06,37943.56792405564
2021-05-07,37942.56792405564
2021-05-10,35091.43551865956
2021-05-11,34915.11033087256
2021-05-12,34915.11033087256
2021-05-13,34915.11033087256
2021-05-14,34915.11033087256
2021-05-17,34915.11033087256
2021-05-18,34915.11033087256
2021-05-19,34915.11033087256
2021-05-20,34915.11033087256
2021-05-21,34915.11033087256
2021-05-24,34915.11033087256
2021-05-25,34915.11033087256
2021-05-26,34915.11033087256
2021-05-27,34915.11033087256
2021-05-28,34915.11033087256
2021-06-01,34915.11033087256
2021-06-02,34915.11033087256
2021-06-03,34914.11033087256
2021-06-04,36702.7047479621
2021-06-07,36701.7047479621
2021-06-08,36743.475127627105
2021-06-09,36785.53760784921
2021-06-10,37912.023406297376
2021-06-11,38212.74092982969
2021-06-14,39283.5815721507
2021-06-15,38555.81303414121
2021-06-16,38143.22099724038
2021-06-17,39566.77306225715
2021-06-18,38622.41196115954
2021-06-21,39329.14925905798
2021-06-22,40427.73945430329
2021-06-23,40497.69753772824
2021-06-24,41243.13815944216
2021-06-25,41113.29946181213
2021-06-28,42568.836537831114
2021-06-29,43048.027501750264
2021-06-30,42859.330541865005
2021-07-01,42880.361781976055
2021-07-02,44335.60675743794
2021-07-06,44930.469541967876
2021-07-07,45217.458339316596
2021-07-08,44433.75254462285
2021-07-09,45185.91147915002
2021-07-12,45752.44050964145
2021-07-13,45728.05011312377
2021-07-14,45976.62768721411
2021-07-15,45024.818021910505
2021-07-16,43919.655564130495
2021-07-19,42866.19490495681
2021-07-20,44279.81555103224
2021-07-21,45290.62952886963
2021-07-22,46242.439194173225
2021-07-23,47778.74207422979
2021-07-26,47977.80860389203
2021-07-27,46410.10491394744
2021-07-28,46917.775682183645
2021-07-29,47148.53512229101
2021-07-30,46442.235975228214
2021-08-02,46428.069098208965
2021-08-03,47236.311339698936
2021-08-04,47470.575986491465
2021-08-05,48362.94318842565
2021-08-06,47733.028337043965
2021-08-09,47988.178173669
2021-08-10,47271.21735627214
2021-08-11,47015.629368811446
2021-08-12,47505.335952786125
2021-08-13,47981.31381057721
2021-08-16,48065.29272074286
2021-08-17,46802.39596212996
2021-08-18,45441.35341633215
2021-08-19,46088.794301139715
2021-08-20,47512.49241643502
2021-08-23,49629.34515372372
2021-08-24,50119.19778797695
2021-08-25,50174.84294410411
2021-08-26,49324.68427267057
2021-08-27,50766.34657222741
2021-08-30,52448.991831390034
2021-08-31,52302.211301448326
2021-09-01,52589.34614907559
2021-09-02,52515.7368086869
2021-09-03,52988.20945979281
2021-09-07,53204.94807315948
2021-09-08,52659.304232500544
2021-09-09,52095.98830813718
2021-09-10,50923.934822781746
2021-09-13,50808.26300217097
2021-09-14,50370.696367638266
2021-09-15,51487.2507471451
2021-09-16,51588.60964045808
2021-09-17,49765.75611388845
2021-09-20,46704.54227550215
2021-09-21,46762.69263831448
2021-09-22,46762.69263831448
2021-09-23,46761.69263831448
2021-09-24,46894.09162398689
2021-09-27,45763.108839181514
2021-09-28,41946.31805930734
2021-09-29,41667.54250229704
2021-09-30,41667.54250229704
2021-10-01,41667.54250229704
2021-10-04,41667.54250229704
2021-10-05,41667.54250229704
2021-10-06,41667.54250229704
2021-10-07,41667.54250229704
2021-10-08,41667.54250229704
2021-10-11,41667.54250229704
2021-10-12,41667.54250229704
2021-10-13,41667.54250229704
2021-10-14,41667.54250229704
2021-10-15,41667.54250229704
2021-10-18,41667.54250229704
2021-10-19,41667.54250229704
2021-10-20,41667.54250229704
2021-10-21,41667.54250229704
2021-10-22,41666.54250229704
2021-10-25,42917.11863694404
2021-10-26,43318.21895656206
2021-10-27,43660.47153131287
2021-10-28,45093.74652240957
2021-10-29,45760.27725611491
2021-11-01,46211.238112702034
2021-11-02,46827.90830943828
2021-11-03,48314.244760865055
2021-11-04,50116.487725533036
2021-11-05,50302.1412804698
